dim1,dim2
-4.797592,3.5973551
-11.560814,-9.263305
-2.3146548,5.1832886
-7.447464,1.5657406
-8.611354,0.995615
2.0716214,-3.7287188
-8.905071,6.128227
-14.202299,1.8175282
-11.271413,1.2513094
-14.236602,-8.04992
-4.6886487,1.5330608
-8.201291,-4.929029
-12.39899,4.7163568
-3.533306,5.45272
-10.512669,5.546011
-1.6601896,5.5199156
-14.686208,8.765904
-13.231577,-4.996255
-12.1298275,-4.496769
-0.17486766,2.3280363
-4.3476014,2.3192813
-9.529701,-2.6078973
-11.62932,-6.1192217
-15.110757,-4.065836
-2.4179645,5.3535695
-9.329185,-6.834478
-9.469543,-1.041011
-11.153078,6.866707
-10.105354,-4.0416474
18.958231,-2.4293542
23.480286,3.6745749
15.482419,2.1949625
18.668652,0.5139946
17.493015,2.7755408
-17.03297,3.3030741
4.4075627,3.2607195
14.065741,0.25077292
18.379564,-2.8781736
2.9930782,-3.551914
6.9757223,1.9524168
18.940233,2.1931882
22.88172,2.297563
15.110551,-6.9501367
12.763169,-7.7716994
16.127975,0.88941073
16.908356,-0.30357462
19.608728,-2.9583633
16.53606,-4.5313663
15.6615305,3.9599423
13.0453,-6.0317254
19.878439,0.8759124
-0.7786882,-6.2132273
23.987043,2.1501994
20.583252,1.0708437
19.470251,-3.5072727
15.415092,-8.765713
14.899185,-6.953478
5.3305907,3.246604
2.8008602,-0.69625694
18.205902,-6.4012175
7.5778804,3.5848987
24.008553,2.9617553
-1.9220387,0.57512397
21.238167,-0.48487145
8.537006,-5.686445
23.357767,1.9419372
18.989807,-0.19353469
16.705503,-8.990753
18.329573,3.3362217
14.009756,1.8099296
9.375564,1.4776452
22.312178,3.2416618
17.763517,-6.772359
4.4191837,-3.8513503
16.037788,1.3870096
21.985296,2.3775558
20.996798,-2.965219
24.98371,1.766771
1.9767691,-2.1662183
-13.806359,2.757186
-12.882061,5.9614143
1.1942654,-4.4575367
-15.341788,8.952587
0.80685854,-3.294116
-12.799903,3.2136412
-14.775012,4.237538
-6.9619303,5.5288095
-15.852775,3.3784058
-19.40245,3.7172954
-13.454344,-4.2507544
-17.72299,5.8845034
-15.034893,6.344215
-14.658916,3.6285028
-12.112531,2.7341285
-5.015161,-1.4299476
-5.4011354,-1.453591
-15.426402,8.493199
-9.223656,3.5284977
-15.2323,7.3489833
-2.9496658,-2.9741328
-6.8706317,5.422037
1.0313195,-7.6115103
-11.772565,3.1467433
-2.086466,-2.8258502
-10.575157,-1.5135239
-10.233356,3.114141
-9.186596,-4.0083914
-15.620158,4.6404614
-10.723442,4.162364
-16.59985,5.0127125
-12.901217,3.7499275
-18.546663,3.7560143
-9.821975,3.934359
-6.8278112,3.9272418
-19.053324,4.212682
-13.718914,3.7222273
-18.20001,5.0804095
-16.214304,9.65557
-13.607858,4.837275
-20.685944,10.708994
-20.062126,11.442667
-17.957825,11.983866
-19.771906,9.024699
-24.104778,7.234479
-22.388824,6.347879
-20.179731,9.265224
-21.878218,9.538058
-17.768377,11.052435
-21.774174,10.522086
-22.557869,12.473866
-22.245089,7.2494817
-20.39053,6.085392
-21.62157,11.331869
-20.009485,8.050755
-24.696901,7.9235244
-24.481068,8.99073
-22.811886,12.028533
-23.358288,8.749644
-24.204912,8.259144
-18.526955,11.157244
-25.200485,8.5991
-22.766327,7.956412
-19.476824,10.276256
-22.529196,11.246335
-20.675243,9.768194
-20.830702,8.474984
-21.653969,7.934044
-20.156046,10.710329
-23.667055,7.3720245
-23.544054,10.882487
-24.8345,7.0000143
-20.47269,7.77318
-17.824133,10.181389
-19.40297,7.1655684
14.055031,-1.740027
10.492988,-3.986208
14.626696,-8.835885
14.437616,-2.184584
15.551344,-9.773712
18.013035,-3.9262028
13.544195,3.0026689
12.799382,-2.2398603
13.361182,-0.34910655
13.3959255,-0.85884327
10.712131,-4.371104
3.0571387,-2.5139391
2.6787944,-6.442585
16.567694,5.612591
9.90501,-1.3915358
12.2482395,-7.4268465
12.096929,-7.0473294
17.258684,4.7801914
16.009905,-3.228413
15.134863,-2.5913851
11.587585,3.2113366
20.292225,2.8967483
14.934067,-3.8983445
12.544235,-6.4584317
12.920456,0.13250805
11.005443,-3.0416527
15.378109,-5.226837
12.381022,2.72307
2.543452,-6.7649794
7.7638,-7.06817
15.229889,-8.469886
17.51194,-3.1175783
14.310241,-2.7007449
11.97598,-4.8181553
14.954463,-5.564021
